,0
433,5.024635
434,5.146554
435,5.226236
436,5.159996
437,5.066875
438,4.963196
439,4.924797
440,4.835515
441,4.952635
442,4.727995
443,5.159035
444,5.183994
445,5.130236
446,5.012155
447,5.274235
448,5.389435
449,5.343356
450,5.451835
451,5.3855949999999995
452,5.474874
453,5.319355000000002
454,5.229115
455,5.528636
456,5.519995
457,5.755195
458,5.937596
459,5.870394999999999
460,5.782075
461,5.750395
462,5.770555
463,5.873273999999999
464,5.9078349999999995
465,5.8991940000000005
466,5.978873999999999
467,6.235194
468,6.193914
469,6.197754
470,6.236155
471,6.385914
472,6.442554
473,6.6566339999999995
474,6.687353
475,6.537593
476,6.510715
477,6.8735919999999995
478,6.972474000000001
479,6.894715
480,7.1087940000000005
481,7.0991919999999995
482,7.1116740000000025
483,7.135675
484,7.191352999999999
485,7.198072
486,6.912953
487,6.929275
488,6.826555
489,6.852474000000001
490,6.922553999999999
491,7.055994
492,7.1059149999999995
493,7.041595
494,7.126073
495,7.0627130000000005
496,6.859192999999999
497,6.901434
498,7.175994
499,7.197113000000001
500,7.140472999999999
501,7.324791999999999
502,7.300795
503,7.762553
504,8.054391
505,8.091832
506,8.216632
507,8.132153
508,7.919035000000001
509,7.587833
510,7.304634
511,7.456312
512,7.299832
513,7.123194
514,6.9436729999999995
515,6.914872999999999
516,7.199994
517,7.248953
518,7.240314
519,6.921593
520,6.897593
521,6.460793
522,6.489594
523,6.605753999999999
524,6.235194
525,6.461753
526,6.212155
527,6.493434
528,6.6451139999999995
529,6.774714
530,6.747833
531,6.631671000000001
532,6.8467139999999995
533,6.887994
534,6.8601529999999995
535,6.815035000000001
536,6.575033
537,6.633594
538,6.682554
539,6.501114
540,6.286072
541,6.365754
542,6.303354
543,6.137275
544,6.066234
545,6.305275
546,6.462716
547,6.358073
548,6.173754
549,6.2073540000000005
550,6.143033999999999
551,5.933754
552,5.920314
553,5.775353
554,5.756153
555,5.712955
556,5.636154
557,5.983675
558,6.0239949999999975
559,6.021114
560,6.014394
561,5.872313
562,6.452154
563,6.839035000000001
564,6.699835
565,6.592313000000001
566,6.527035
567,6.404155
568,6.381113
569,6.221754
570,6.357113
571,6.3023940000000005
572,6.492473
573,6.4358330000000015
574,6.311995
575,6.352314
576,6.542393
577,6.658554
578,6.757433
579,6.6815940000000005
580,6.8755130000000015
581,6.829433
582,6.828474000000001
583,6.901434
584,6.901434
585,6.818873
586,6.7775940000000015
587,6.542393
588,6.499194999999999
589,6.507834
590,6.238074
591,6.264954
592,6.065274
593,6.192954
594,6.084475
595,6.0623949999999995
596,6.080635
597,6.1756730000000015
598,6.1007940000000005
599,5.877115
600,5.737915
601,5.9683150000000005
602,5.919355
603,5.759994
604,5.733115
