,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
19,0.1,0.01,50.0,0.2819953877967454,-0.002507043956104793,5.113071143330764e-05,3.8296259133716466e-05
20,0.1,0.05,50.0,0.43116237765894316,-0.02487295505696019,2.5383173461025285e-05,1.917041514004318e-05
21,0.1,0.1,50.0,0.6216254467649953,-0.02252666838061268,1.2231179640017368e-05,9.262080609694115e-06
22,0.1,0.3,50.0,0.6424447908639781,-0.016271072027876254,1.1333815580276669e-05,8.610190103696726e-06
23,0.1,0.5,50.0,0.921145061079746,-0.03510033382972666,1.7450813962808815e-06,1.3577665731727256e-06
24,0.3,0.0,50.0,0.2126628405266855,-0.03127142842141506,6.90036104071996e-05,5.11881966679231e-05
25,0.3,0.01,50.0,0.41566294286100414,-0.0049189144630563675,2.8265593717556856e-05,2.1452834855057628e-05
26,0.3,0.05,50.0,0.6578923014327371,-0.009114921176535784,1.0693316190565923e-05,8.11386674307619e-06
27,0.3,0.1,50.0,0.5960252334306707,-0.013301647440217446,1.3399244580907925e-05,1.0224537339685004e-05
28,0.3,0.3,50.0,0.686051239656174,-0.016886588283400616,9.433842112301116e-06,7.173444477914023e-06
29,0.3,0.5,50.0,0.7889603310033204,-0.022680470339642156,5.376323077922433e-06,4.119554724534268e-06
30,0.5,0.0,50.0,0.8000507830419851,-0.031161226303233036,5.063371666065529e-06,3.86508797914602e-06
31,0.5,0.01,50.0,0.5100538747772431,-0.004657202478872247,1.9408692108176395e-05,1.488347698277474e-05
32,0.5,0.05,50.0,0.5638798493421187,-0.021992003962183038,1.6217208152500764e-05,1.2289682515870615e-05
33,0.5,0.1,50.0,0.7948454280598072,-0.014981427255576385,5.292344557731553e-06,4.092295621006113e-06
34,0.5,0.3,50.0,0.6020650993974428,-0.20813232601625353,1.2169396611577512e-05,9.26230601387179e-06
35,0.5,0.5,50.0,0.8564185938737606,-0.028846361848029023,3.37173254769639e-06,2.583453758668911e-06
36,0.0,0.0,100.0,0.23155873171261943,-0.0017737515349594002,6.717851520604178e-05,5.1815674941744676e-05
