,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
29,0.36374784,0.4211461,-0.025426421,0.27613506,0.24455106,0.061950196,-0.17176753,0.010454938,-0.02290107,0.02701378,0.079593174,-0.053374074,0.0016455047,0.011057687,0.03131351,-0.04644038,0.09968183,-0.2753392,-0.01026394,0.14378959
30,-0.05781137,-0.12289686,-0.31226835,-0.1277312,0.05791339,-0.09318492,-0.14138171,0.13193206,-0.22867948,0.16252276,-0.35001916,0.26544684,0.03747243,-0.26781633,-0.08065426,0.24571718,-0.101728156,-0.07419259,-0.0072332653,0.06925806
31,0.12815064,0.030667963,-0.06875492,-0.20440644,-0.026380599,-0.15002641,0.124938644,-0.32720286,0.10363811,-0.13769723,0.17726152,-0.0094044795,-0.2091516,0.14559814,-0.28174555,0.005317115,0.20524864,0.22693945,-0.038193014,-0.18178083
32,-0.06522049,-0.14090945,0.07946479,-0.1964656,-0.014252243,0.09129229,0.100670055,0.05403058,-0.01849865,-0.008192625,-0.22586939,-0.34245175,-0.22223598,-0.269836,0.24782524,0.14508279,-0.29404414,0.035747875,-0.014756909,0.07126411
33,0.1068048,0.12154723,0.13432142,-0.044203166,0.16937819,-0.16173722,-0.030369699,0.22330338,0.2131467,0.22529441,0.057423748,-0.15306702,0.1681375,0.032333758,-0.15958457,-0.40417862,0.2070228,0.050434805,0.23400651,0.09823622
34,-0.045941245,-0.19930884,-0.3052502,-0.014659711,-0.027340943,0.020950414,-0.2033312,0.15983887,-0.13936897,0.22927941,-0.14989391,0.18053637,-0.20389244,-0.011587246,-0.021235993,0.061346445,-0.024078645,0.13799624,-0.36537075,-0.0121453
35,-0.08301697,-0.03698171,-0.061248515,0.07740607,0.15942782,-0.18265079,0.2862657,-0.25599685,0.022602787,-0.3274547,0.012955951,0.051993795,-0.005856759,0.07584725,-0.15473807,0.010942413,0.25045648,0.1415916,0.1785476,0.099243104
36,-0.045435492,-0.106473185,0.21621644,-0.32966408,-0.2776782,0.22194608,0.04891223,0.071025476,0.27289987,-0.039786186,-0.0109529635,-0.23011586,-0.14331238,0.03981337,0.09412465,0.06920014,-0.18508245,0.15521987,-0.09394755,-0.033540316
37,0.103865996,0.08364244,-0.14775673,0.012790826,0.10452406,-0.17948607,0.021475105,0.066027135,0.005635511,0.17491676,-0.024190305,-0.15286094,0.27044445,-0.15949447,0.097745255,-0.2117105,-0.091338746,-0.2838389,0.11179154,0.00589498
38,0.15934162,0.18975845,0.107215434,0.13058126,0.085983224,0.2220841,-0.26806784,0.19764656,0.008517244,0.0018621408,0.14310968,0.2128353,-0.1680852,0.17829967,-0.12812072,0.04760181,0.07893298,0.020406986,-0.09302691,0.22232035
